optimization,runtime,array_size,init_wall,init_cpu,ref_wall,ref_cpu
0,1,264241152,9.069824,9.051000,910.255859,909.637000
0,2,264241152,9.090088,9.075000,909.814941,909.209000
0,3,264241152,9.072998,9.041000,910.156982,909.452000
1,1,264241152,9.072021,9.044000,910.093018,909.440000
1,2,264241152,9.072021,9.044000,909.536865,908.848000
1,3,264241152,9.070068,9.046000,910.208984,909.556000
2,1,264241152,9.054199,9.038000,541.009033,540.619000
2,2,264241152,9.055908,9.041000,540.527832,540.196000
2,3,264241152,9.072021,9.040000,910.378174,909.589000
3,1,264241152,9.067871,9.051000,910.403076,909.682000
3,2,264241152,9.055176,9.029000,539.171875,538.898000
3,3,264241152,9.072021,9.044000,919.700928,918.985000
