optimization,runtime,array_size,init_wall,init_cpu,ref_wall,ref_cpu
0,1,264241152,255.105957,1013.225000,911.566895,972.889000
0,2,264241152,256.638184,1018.345000,911.443848,973.891000
0,3,264241152,255.548096,1009.248000,910.986084,978.059000
1,1,264241152,93.781982,366.690000,609.341064,673.785000
1,2,264241152,96.885010,380.792000,610.991943,671.901000
1,3,264241152,90.336914,352.005000,609.399170,674.857000
2,1,264241152,90.179932,357.286000,187.007080,246.682000
2,2,264241152,151.395020,524.605000,183.937988,244.632000
2,3,264241152,97.378906,387.153000,184.707031,243.185000
3,1,264241152,90.925781,360.792000,183.858154,243.254000
3,2,264241152,96.347900,382.060000,184.692139,244.072000
3,3,264241152,93.518066,364.347000,183.729004,249.706000
