optimization,runtime,array_size,init_wall,init_cpu,ref_wall,ref_cpu
0,1,264241152,856.437012,854.836000,910.459229,909.219000
0,2,264241152,853.893066,852.610000,910.906982,910.074000
0,3,264241152,852.678955,851.293000,909.972900,909.023000
1,1,264241152,348.663086,347.878000,610.000000,609.413000
1,2,264241152,351.450928,350.592000,610.446045,609.864000
1,3,264241152,356.908936,352.101000,613.222900,610.751000
2,1,264241152,291.883057,291.128000,187.072998,186.807000
2,2,264241152,290.676025,290.061000,184.654053,184.450000
2,3,264241152,291.596191,290.963000,183.792969,183.621000
3,1,264241152,175.181152,174.581000,183.957031,183.633000
3,2,264241152,173.084961,172.609000,183.718994,183.543000
3,3,264241152,173.800049,173.317000,184.277100,184.058000
